arquivo;curso_codigo;curriculo_ordinal;curriculo_disciplina;curriculo_ch_horas;numero_ue;topico;ue_ch_horas;destino_disciplina_codigo;fundamento_normativo;fundamento_origem;observacao;motivo_da_exclusao
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XI;NAVEGAÇÃO: SISTEMAS E NORMAS;49;6;SISTEMAS DE POSICIONAMENTO E DE MONITORAMENTO MARÍTIMO;15;13 - CAHO - XI;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XII;AGULHAS NÁUTICAS;32;1;INTRODUÇÃO ÀS AGULHAS NÁUTICAS;2;14 - CAHO - XII;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XII;AGULHAS NÁUTICAS;32;2;MAGNETISMO;2;14 - CAHO - XII;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XII;AGULHAS NÁUTICAS;32;3;TEORIA DOS DESVIOS;3;14 - CAHO - XII;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XII;AGULHAS NÁUTICAS;32;4;AGULHAS MAGNÉTICAS;2;14 - CAHO - XII;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XII;AGULHAS NÁUTICAS;32;5;COMPENSAÇÃO DE AGULHAS MAGNÉTICAS;8;14 - CAHO - XII;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XII;AGULHAS NÁUTICAS;32;6;EXECUÇÃO DA COMPENSAÇÃO;15;14 - CAHO - XII;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XIII;ACÚSTICA SUBMARINA;47;1;NOÇÕES DE ACÚSTICA;7;15 - CAHO - XIII;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XIII;ACÚSTICA SUBMARINA;47;2;FUNDAMENTOS DE ACÚSTICA SUBMARINA;13;15 - CAHO - XIII;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XIII;ACÚSTICA SUBMARINA;47;3;INTRODUÇÃO AO PROCESSAMENTO DE SINAIS ACÚSTICOS;8;15 - CAHO - XIII;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XIII;ACÚSTICA SUBMARINA;47;4;A EQUAÇÃO SONAR;4;15 - CAHO - XIII;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XIII;ACÚSTICA SUBMARINA;47;5;SISTEMAS ACÚSTICOS;15;15 - CAHO - XIII;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XIV;SENSORIAMENTO REMOTO, AEROFOTOGRAMETRIA e LiDAR;60;1;AEROFOTOGRAMETRIA;4;16 - CAHO - XIV;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XIV;SENSORIAMENTO REMOTO, AEROFOTOGRAMETRIA e LiDAR;60;2;CONCEITOS BÁSICOS PARA TRABALHO COM FOTOGRAFIAS;7;16 - CAHO - XIV;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XIV;SENSORIAMENTO REMOTO, AEROFOTOGRAMETRIA e LiDAR;60;3;OPERAÇÕES AEROFOTOGRAMÉTRICAS NOS LH;5;16 - CAHO - XIV;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XIV;SENSORIAMENTO REMOTO, AEROFOTOGRAMETRIA e LiDAR;60;4;SENSORIAMENTO REMOTO;17;16 - CAHO - XIV;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XIV;SENSORIAMENTO REMOTO, AEROFOTOGRAMETRIA e LiDAR;60;5;APLICATIVOS DO SENSORIAMENTO REMOTO;11;16 - CAHO - XIV;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XIV;SENSORIAMENTO REMOTO, AEROFOTOGRAMETRIA e LiDAR;60;6;TÉCNICAS NÃO ACÚSTICAS DE BATIMETRIA;16;16 - CAHO - XIV;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XV;GERENCIAMENTO DE DADOS HIDROGRÁFICOS;35;1;A CARTOGRAFIA NÁUTICA BRASILEIRA;8;17 - CAHO - XV;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XV;GERENCIAMENTO DE DADOS HIDROGRÁFICOS;35;2;NORMAS DA ORGANIZAÇÃO HIDROGRÁFICA INTERNACIONAL;6;17 - CAHO - XV;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XV;GERENCIAMENTO DE DADOS HIDROGRÁFICOS;35;3;BANCOS DE DADOS E INFRAESTRUTURAS DE DADOS ESPACIAIS MARINHOS (IDE);8;17 - CAHO - XV;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XV;GERENCIAMENTO DE DADOS HIDROGRÁFICOS;35;4;PROCESSO DA CARTOGRAFIA NÁUTICA BASEADO EM BANCOS DE DADOS ESPACIAIS;13;17 - CAHO - XV;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XVI;HIDROGRAFIA;239;1;LEVANTAMENTO HIDROGRÁFICO (LH);8;18 - CAHO - XVI;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XVI;HIDROGRAFIA;239;2;SISTEMA DE BATIMETRIA;4;18 - CAHO - XVI;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XVI;HIDROGRAFIA;239;3;DETERMINAÇÃO DA PROFUNDIDADE;8;18 - CAHO - XVI;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XVI;HIDROGRAFIA;239;4;SONDAGEM MONOFEIXE;10;18 - CAHO - XVI;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XVI;HIDROGRAFIA;239;5;SONDAGEM MULTIFEIXE;46;18 - CAHO - XVI;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XVI;HIDROGRAFIA;239;6;INSTALAÇÕES DE SENSORES HIDROGRÁFICOS;24;18 - CAHO - XVI;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XVI;HIDROGRAFIA;239;7;COMUNICAÇÕES, ELETRÔNICA E INFORMÁTICA;12;18 - CAHO - XVI;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XVI;HIDROGRAFIA;239;8;VARREDURA;8;18 - CAHO - XVI;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XVI;HIDROGRAFIA;239;9;OUTROS SISTEMAS DE LEVANTAMENTO;4;18 - CAHO - XVI;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XVI;HIDROGRAFIA;239;10;CARACTERIZAÇÃO ACÚSTICA DO FUNDO;3;18 - CAHO - XVI;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XVI;HIDROGRAFIA;239;11;PLANEJAMENTO DE LINHAS DE SONDAGEM E PRÁTICA EM SIMULADOR;8;18 - CAHO - XVI;Of no 10-6/2025;oficio;;
