arquivo;curso_sigla;disciplina_ordinal;disciplina_nome;disciplina_ch_horas;numero_ue;topico;ue_ch_horas;qtd_subunidades;subunidades
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;X;MARÉS;86;2;FORÇAS GERADORAS DE MARÉ;6;2;"Forças geradoras da maré; e | Ações das forças lunares e solares na formação das marés"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;X;MARÉS;86;3;MARÉ DE EQUILÍBRIO;9;3;"Formação das marés e diferentes tipos de maré | Comparação da maré de equilíbrio com maré real; e | Variações no nível da água do mar causadas por fatores extra maré"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;X;MARÉS;86;4;MOVIMENTOS DA LUA E DO SOL;8;3;Revoluções do Sol e da Lua no sistema geocêntrico | Determinação das longitudes médias do sol e da lua, dos perigeus lunar e solar e | Anomalias dos movimentos lunares e solares na esfera celeste
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;X;MARÉS;86;5;DESENVOLVIMENTO HARMÔNICO DA MARÉ;6;1;Altura da maré de equilíbrio em termos harmônicos
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;X;MARÉS;86;6;ANÁLISES ESPECTRAL E HARMÔNICA DA MARÉ;14;3;"Aplicação da análise de Fourier em séries discretas de maré | Aplicação de análise espectral cruzada entre séries de maré; e | Análise harmônica da maré e incertezas associadas à duração das observações"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;X;MARÉS;86;7;MARÉS EM ÁGUAS RASAS;6;3;"Formação dos componentes harmônicos de águas rasas | Marés em rios; e | Sistemas anfidrômicos"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;X;MARÉS;86;8;MÉTODOS DE PREVISÃO DE MARÉS;6;2;"Método não harmônico de previsão de marés; e | Método harmônico de previsão de marés"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;X;MARÉS;86;9;CORRENTES DE MARÉ;6;4;"Relação entre corrente e onda de maré | Análise de correntes rotatórias e alternadas | Método harmônico de análise e previsão de corrente de maré; e | Análise cruzada maré x corrente de maré"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;X;MARÉS;86;10;ESTAÇÃO MAREGRÁFICA;8;5;"Princípio de operação e tipos de marégrafos | Instalação e nivelamento de marégrafos | Medição e crítica dos dados de maré | Rede maregráfica e controle de qualidade; e | Incertezas associadas à medição de maré"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;X;MARÉS;86;11;REDUÇÃO DE SONDAGENS;14;5;"Classificação de maré pelo critério de Courtier | Determinação do nível de redução e redução de sondagem | Transporte de nível de redução e nível médio do mar | Nível de redução em rios com influência de maré; e | Zoneamento de maré para redução de sondagem e incerteza associada à"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XI;NAVEGAÇÃO: SISTEMAS E NORMAS;49;1;PUBLICAÇÕES DE AUXÍLIO À NAVEGAÇÃO;5;2;"Publicações de Auxílio à Navegação; e | Informações aos Navegantes"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XI;NAVEGAÇÃO: SISTEMAS E NORMAS;49;2;LEGISLAÇÃO REFERENTE À SEGURANÇA DA NAVEGAÇÃO;7;3;"Lei de Segurança do Tráfego Aquaviário (LESTA) | Normas da Autoridade Marítima; e | Tribunal Marítimo"
